Customer ID,Assigned RM,Customer Type,Priority/Private,Transaction Label,AUM Label,Propensity BAC,Propensity SB,Propensity RD,Score Overall,Score BAC,Score SB,Score RD,Risk Profile
152,RM001,High Net Worth,Priority,Medium,Medium,Low,High,High,7,1,3,3,Conservative
154,RM001,Very High Net Worth,Priority,Medium,High,High,High,Low,7,3,3,1,Balanced
159,RM001,High Net Worth,Priority,Medium,Medium,Low,Medium,Medium,5,1,2,2,Balanced
165,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Conservative
172,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Moderate
174,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,High,8,1,4,3,Balanced
179,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,High,8,1,4,3,Balanced
183,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Moderate
185,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Moderate
186,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
191,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Conservative
202,RM001,High Net Worth,Priority,High,High,Low,High,Medium,6,1,3,2,Growth
203,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
206,RM001,Very High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Moderate
209,RM001,High Net Worth,Priority,Low,Low,Low,Qualified,Low,6,1,4,1,Moderate
211,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Growth
212,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Moderate
213,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
217,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Growth
221,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Conservative
224,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Aggressive
227,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Conservative
229,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Conservative
231,RM001,High Net Worth,Priority,High,High,Low,Qualified,Qualified,9,1,4,4,Balanced
234,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Conservative
237,RM001,High Net Worth,Priority,Low,Medium,Low,Qualified,Low,6,1,4,1,Growth
239,RM001,High Net Worth,Priority,High,High,High,High,High,9,3,3,3,Conservative
244,RM001,Very High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,
249,RM001,High Net Worth,Priority,High,Medium,Low,High,High,7,1,3,3,Moderate
250,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
252,RM001,High Net Worth,Priority,,Low,Low,Low,Low,3,1,1,1,Conservative
254,RM001,Very High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Moderate
260,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Moderate
261,RM001,High Net Worth,Priority,Low,High,Low,Qualified,Qualified,9,1,4,4,Moderate
269,RM001,Very High Net Worth,Priority,Low,High,Low,Qualified,Low,6,1,4,1,Growth
275,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
276,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Balanced
282,RM001,Very High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Growth
283,RM001,High Net Worth,Priority,Medium,High,High,High,Low,7,3,3,1,Conservative
284,RM001,Very High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,
286,RM001,High Net Worth,Priority,,Low,Low,Low,Low,3,1,1,1,Growth
289,RM001,High Net Worth,Priority,High,High,Low,Medium,High,6,1,2,3,Conservative
290,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Growth
291,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
292,RM001,Very High Net Worth,Priority,,Low,Low,Low,Low,3,1,1,1,Balanced
295,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,High,8,1,4,3,Moderate
298,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Moderate
302,RM001,Very High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
303,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Moderate
306,RM001,High Net Worth,Priority,Low,High,Low,High,Low,5,1,3,1,Moderate
307,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Moderate
308,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,
311,RM001,High Net Worth,Priority,Low,Medium,Low,High,Low,5,1,3,1,Balanced
315,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Moderate
319,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Qualified,8,1,3,4,Moderate
320,RM001,High Net Worth,Priority,Medium,High,Low,High,Low,5,1,3,1,Growth
321,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
322,RM001,Very High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
327,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Growth
330,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Balanced
332,RM001,High Net Worth,Priority,Low,High,Low,Low,High,5,1,1,3,Aggressive
334,RM001,High Net Worth,Priority,High,Low,Low,High,Qualified,8,1,3,4,Aggressive
336,RM001,Ultra High Net Worth,Priority,High,Low,Low,Low,Qualified,6,1,1,4,Conservative
342,RM001,High Net Worth,Priority,High,Medium,Low,High,Low,5,1,3,1,Moderate
345,RM001,Ultra High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
353,RM001,High Net Worth,Priority,Low,Medium,High,Qualified,Low,8,3,4,1,Balanced
356,RM001,High Net Worth,Priority,Medium,High,Low,High,Low,5,1,3,1,Balanced
359,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Moderate
361,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Conservative
369,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Balanced
370,RM001,High Net Worth,Priority,,Low,Low,Low,Low,3,1,1,1,Conservative
376,RM001,Ultra High Net Worth,Priority,Medium,High,High,High,Low,7,3,3,1,Balanced
381,RM001,High Net Worth,Priority,High,Medium,Low,High,Low,5,1,3,1,Conservative
383,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Conservative
390,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Moderate
392,RM001,Very High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Moderate
395,RM001,High Net Worth,Priority,Medium,High,Qualified,Qualified,Low,9,4,4,1,Growth
399,RM001,High Net Worth,Priority,Medium,Medium,Low,Medium,Low,4,1,2,1,Growth
403,RM001,High Net Worth,Priority,Low,High,Low,Medium,Low,4,1,2,1,Moderate
404,RM001,Very High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Growth
409,RM001,Ultra High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
413,RM001,Very High Net Worth,Priority,Low,High,High,Low,Low,5,3,1,1,
417,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Moderate
418,RM001,High Net Worth,Priority,Low,Medium,Low,Qualified,Low,6,1,4,1,Moderate
420,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Moderate
422,RM001,High Net Worth,Priority,Low,High,Qualified,Low,Low,6,4,1,1,Moderate
423,RM001,High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Balanced
427,RM001,High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Aggressive
428,RM001,High Net Worth,Priority,Medium,Medium,Qualified,Qualified,High,11,4,4,3,Growth
432,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
433,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
434,RM001,High Net Worth,Priority,High,Medium,Low,High,Low,5,1,3,1,Conservative
435,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Balanced
436,RM001,Very High Net Worth,Priority,High,High,Low,Low,Qualified,6,1,1,4,Moderate
438,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Conservative
445,RM001,High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Moderate
446,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Conservative
451,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
453,RM001,High Net Worth,Priority,Medium,High,Low,High,Low,5,1,3,1,Conservative
456,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
459,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
464,RM001,Very High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Balanced
465,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
467,RM001,High Net Worth,Priority,,Low,Low,Low,Low,3,1,1,1,Balanced
468,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Qualified,9,1,4,4,Balanced
469,RM001,High Net Worth,Priority,Low,Medium,Low,Low,High,5,1,1,3,Moderate
477,RM001,High Net Worth,Priority,Medium,Medium,Low,Medium,Low,4,1,2,1,Growth
484,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Conservative
486,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
491,RM001,High Net Worth,Priority,High,Medium,Low,High,Low,5,1,3,1,Balanced
492,RM001,High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Moderate
493,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
497,RM001,High Net Worth,Priority,Medium,High,Qualified,High,Low,8,4,3,1,Balanced
502,RM001,High Net Worth,Priority,Medium,Medium,Low,High,High,7,1,3,3,Balanced
503,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Conservative
504,RM001,Ultra High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
507,RM001,High Net Worth,Priority,Medium,Medium,Low,High,High,7,1,3,3,Growth
510,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Conservative
511,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Qualified,9,1,4,4,Moderate
518,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
519,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Moderate
521,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Conservative
525,RM001,Ultra High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Balanced
526,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Balanced
534,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Moderate
535,RM001,Very High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Growth
537,RM001,Very High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Balanced
538,RM001,High Net Worth,Priority,Low,High,Low,Low,High,5,1,1,3,Aggressive
549,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Conservative
551,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
552,RM001,Very High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Conservative
557,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
558,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Moderate
561,RM001,Ultra High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
562,RM001,High Net Worth,Priority,Low,Medium,Low,High,Medium,6,1,3,2,Balanced
565,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
569,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
570,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Moderate
571,RM001,High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Conservative
572,RM001,High Net Worth,Priority,,Low,Low,Low,Low,3,1,1,1,Balanced
573,RM001,High Net Worth,Priority,Low,Medium,High,Low,Low,5,3,1,1,Balanced
574,RM001,High Net Worth,Priority,Medium,Medium,Low,Low,Medium,4,1,1,2,Balanced
576,RM001,High Net Worth,Priority,High,Medium,Low,High,High,7,1,3,3,Moderate
581,RM001,High Net Worth,Priority,Medium,Medium,Low,Low,Qualified,6,1,1,4,Conservative
582,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Conservative
586,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Growth
597,RM001,High Net Worth,Priority,Low,Medium,High,Low,Low,5,3,1,1,
602,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Balanced
605,RM001,High Net Worth,Priority,High,High,Low,Qualified,Qualified,9,1,4,4,Aggressive
607,RM001,Ultra High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Growth
608,RM001,High Net Worth,Priority,High,High,Qualified,Qualified,Low,9,4,4,1,Moderate
611,RM001,High Net Worth,Priority,High,High,Low,Qualified,Qualified,9,1,4,4,Growth
616,RM001,High Net Worth,Priority,Medium,Medium,High,Qualified,Low,8,3,4,1,Balanced
620,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
622,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Moderate
623,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,
624,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
626,RM001,High Net Worth,Priority,Medium,Medium,High,High,Low,7,3,3,1,Balanced
631,RM001,Very High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
636,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Moderate
638,RM001,Very High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Balanced
651,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Growth
652,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Moderate
655,RM001,High Net Worth,Priority,Medium,High,Low,High,Low,5,1,3,1,Growth
657,RM001,High Net Worth,Priority,Low,Medium,Low,High,Low,5,1,3,1,Growth
660,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
662,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
668,RM001,Very High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Growth
671,RM001,High Net Worth,Priority,Medium,Medium,Low,High,High,7,1,3,3,Growth
672,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Moderate
676,RM001,High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Moderate
683,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
684,RM001,High Net Worth,Priority,Low,Medium,Low,High,Low,5,1,3,1,Conservative
688,RM001,High Net Worth,Priority,High,High,Low,Qualified,Qualified,9,1,4,4,Moderate
691,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Balanced
692,RM001,High Net Worth,Priority,Low,Low,Low,Qualified,Low,6,1,4,1,Balanced
698,RM001,High Net Worth,Priority,Medium,Medium,Low,Medium,Low,4,1,2,1,Moderate
701,RM001,High Net Worth,Priority,High,High,Low,High,Medium,6,1,3,2,Moderate
703,RM001,High Net Worth,Priority,Low,High,Low,Qualified,Low,6,1,4,1,Balanced
706,RM001,High Net Worth,Priority,Low,High,Low,High,Low,5,1,3,1,Growth
709,RM001,High Net Worth,Priority,Medium,Medium,High,Low,High,7,3,1,3,Conservative
712,RM001,High Net Worth,Priority,High,Medium,High,High,High,9,3,3,3,Balanced
714,RM001,Very High Net Worth,Priority,High,High,Low,Qualified,High,8,1,4,3,Conservative
723,RM001,Ultra High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
725,RM001,High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Balanced
731,RM001,High Net Worth,Priority,High,Medium,Low,High,Low,5,1,3,1,Moderate
734,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Growth
735,RM001,High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Moderate
736,RM001,High Net Worth,Priority,Medium,Low,Low,Qualified,Qualified,9,1,4,4,Growth
739,RM001,Very High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,
741,RM001,High Net Worth,Priority,High,Medium,Low,Qualified,High,8,1,4,3,Growth
743,RM001,High Net Worth,Priority,Medium,High,Qualified,High,Qualified,11,4,3,4,Moderate
745,RM001,High Net Worth,Priority,Low,Medium,Low,Qualified,Low,6,1,4,1,Balanced
747,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Conservative
753,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
757,RM001,High Net Worth,Priority,Low,High,Low,High,Low,5,1,3,1,Balanced
766,RM001,High Net Worth,Priority,High,Medium,Low,Qualified,Low,6,1,4,1,Conservative
768,RM001,High Net Worth,Priority,Low,High,High,Low,Low,5,3,1,1,
773,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
774,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Qualified,9,1,4,4,Growth
777,RM001,Very High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Moderate
782,RM001,High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Balanced
785,RM001,High Net Worth,Priority,Low,Medium,Low,High,Qualified,8,1,3,4,Growth
790,RM001,High Net Worth,Priority,High,High,Low,High,Qualified,8,1,3,4,Moderate
793,RM001,Ultra High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,
795,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Conservative
798,RM001,High Net Worth,Priority,High,High,Low,High,Qualified,8,1,3,4,Conservative
800,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
802,RM001,High Net Worth,Priority,Low,High,Low,Low,High,5,1,1,3,Moderate
803,RM001,High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Balanced
804,RM001,High Net Worth,Priority,High,High,High,Qualified,Qualified,11,3,4,4,Balanced
805,RM001,High Net Worth,Priority,High,Medium,Low,Qualified,Low,6,1,4,1,Conservative
810,RM001,High Net Worth,Priority,Medium,High,High,High,High,9,3,3,3,Moderate
814,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,
823,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Growth
833,RM001,High Net Worth,Priority,Medium,Medium,Low,High,High,7,1,3,3,Balanced
835,RM001,High Net Worth,Priority,High,Medium,Low,Qualified,Low,6,1,4,1,Conservative
837,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Moderate
840,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Moderate
849,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,High,8,1,4,3,Balanced
852,RM001,High Net Worth,Priority,Medium,High,Low,High,Medium,6,1,3,2,Conservative
858,RM001,High Net Worth,Priority,High,Medium,Low,High,Low,5,1,3,1,Conservative
860,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Conservative
861,RM001,High Net Worth,Priority,High,High,Low,Qualified,Qualified,9,1,4,4,Balanced
864,RM001,Very High Net Worth,Priority,Low,High,Low,Medium,Low,4,1,2,1,Moderate
865,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Growth
866,RM001,High Net Worth,Priority,Low,High,Low,High,Low,5,1,3,1,Conservative
867,RM001,High Net Worth,Priority,Low,Medium,High,Low,Low,5,3,1,1,Balanced
868,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Moderate
869,RM001,High Net Worth,Priority,High,High,High,High,High,9,3,3,3,Moderate
872,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Conservative
884,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Conservative
885,RM001,Very High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Moderate
886,RM001,Very High Net Worth,Priority,Low,High,High,Low,Low,5,3,1,1,Moderate
888,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Conservative
892,RM001,High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Balanced
893,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Moderate
895,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Conservative
896,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Conservative
899,RM001,High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Moderate
900,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Balanced
901,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
904,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Qualified,8,1,3,4,Conservative
905,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Growth
907,RM001,High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Aggressive
908,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
909,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,
